,Time,Names,ConfirmedCases,Recovered,Deaths,Population,LandArea,MedianAge,German
83,2020-03-22,HUNGARY,131,7,7,9660351,90530,43,Ungarn
84,2020-03-22,ICELAND,473,5,5,341243,100250,37,Island
85,2020-03-22,INDIA,349,24,24,1380004385,2973190,28,Indien
86,2020-03-22,INDONESIA,450,20,20,273523615,1811570,30,Indonesien
87,2020-03-22,IRAN,20610,7635,7635,83992949,1628550,32,Iran
88,2020-03-22,IRAQ,214,52,52,40222493,434320,21,Irak
89,2020-03-22,IRELAND,785,5,5,4937786,68890,38,Irland
90,2020-03-22,ISRAEL,945,36,36,8655535,21640,30,Israel
91,2020-03-22,ITALY,53578,6072,6072,60461826,294140,47,Italien
92,2020-03-22,JAMAICA,19,2,2,2961167,10830,31,Jamaika
93,2020-03-22,JAPAN,1061,232,232,126476461,364555,48,Japan
94,2020-03-22,JORDAN,100,1,1,10203134,88780,24,Jordan
95,2020-03-22,KAZAKHSTAN,57,0,0,18776707,2699700,31,Kasachstan
96,2020-03-22,KENYA,7,0,0,53771296,569140,20,Kenia
97,2020-03-22,KIRIBATI,0,0,0,119449,810,23,Kiribati
98,2020-03-22,KUWAIT,188,30,30,4270571,17820,37,Kuwait
99,2020-03-22,KYRGYZSTAN,14,0,0,6524195,191800,26,Kyrgyzstan
100,2020-03-22,LAO PEOPLE'S DEMOCRATIC REPUBLIC,0,0,0,-1,-1,-1,Laos
101,2020-03-22,LATVIA,139,1,1,1886198,62200,44,Lettland
102,2020-03-22,LEBANON,230,8,8,6825445,10230,30,Libanon
103,2020-03-22,LESOTHO,0,0,0,2142249,30360,24,Lesotho
104,2020-03-22,LIBERIA,3,0,0,5057681,96320,19,Liberia
105,2020-03-22,LIBYA,0,0,0,6871292,1759540,29,Libyen
106,2020-03-22,LITHUANIA,105,1,1,2722289,62674,45,Litauen
107,2020-03-22,LUXEMBOURG,670,6,6,625978,2590,40,Luxemburg
108,2020-03-22,MADAGASCAR,3,0,0,27691018,581795,20,Madagaskar
109,2020-03-22,MALAWI,0,0,0,19129952,94280,18,Malawi
110,2020-03-22,MALAYSIA,1183,114,114,32365999,328550,30,Malaysia
111,2020-03-22,MALDIVES,13,3,3,540544,300,30,Malediven
112,2020-03-22,MALI,0,0,0,20250833,1220190,16,Mali
113,2020-03-22,MALTA,73,2,2,441543,320,43,Malta
114,2020-03-22,MARTINIQUE,37,0,0,375265,1060,47,Martinique
115,2020-03-22,MAURITANIA,2,0,0,4649658,1030700,20,Mauritanien
116,2020-03-22,MAURITIUS,18,0,0,1271768,2030,37,Mauritius
117,2020-03-22,MAYOTTE,11,0,0,272815,375,20,Mayotte
118,2020-03-22,MEXICO,251,35,35,128932753,1943950,29,Mexiko
119,2020-03-22,MICRONESIA (FED. STATES OF),0,0,0,115023,700,24,Micronesia (Fed. States Of)
120,2020-03-22,MONGOLIA,10,0,0,3278290,1553560,28,Mongolei
121,2020-03-22,MONTENEGRO,16,0,0,628066,13450,39,Montenegro
